Campaign_ID,Target_Audience,Campaign_Goal,Duration,Channel_Used,Conversion_Rate,Spend,ROI,Location,Language,Clicks,Impressions,Customer_Segment,Date,Company
819114,Women 25-34,Market Expansion,45 Days,Twitter,"0,07","8311,42","5,43",Austin,French,21772,66009,Fashion,2022-04-04 00:00:00,Glam Garments
701591,Women 18-24,Brand Awareness,45 Days,Pinterest,"0,13","7762,14","0,943785552",Miami,Spanish,11903,39741,Food,2022-04-08 00:00:00,Feast Flavors
374605,Women 25-34,Market Expansion,60 Days,Twitter,"0,14","12306,92","0,24",New York,English,32581,98024,Food,2022-08-09 00:00:00,Savor Street
737924,Men 18-24,Increase Sales,15 Days,Pinterest,"0,06","2811,25","0,831174776",New York,English,4042,14144,Fashion,2022-08-15 00:00:00,Vogue Visions
367825,Men 25-34,Increase Sales,45 Days,Instagram,"0,02","8881,3","1,76",New York,English,23303,70545,Food,2022-05-16 00:00:00,Gastronomy Guild
525364,Men 25-34,Brand Awareness,45 Days,Pinterest,"0,11","9055,95","0,731076308",Miami,Spanish,13961,46440,Food,2022-10-02 00:00:00,Nosh Nirvana
758996,Men 25-34,Market Expansion,15 Days,Twitter,"0,09","817,27","5,41",Austin,French,2545,9057,Food,2022-11-12 00:00:00,Gastronomy Guild
124142,Men 25-34,Increase Sales,45 Days,Instagram,"0,11","9941,47","2,33",Austin,English,26188,79088,Fashion,2022-09-13 00:00:00,Chic Couture
570477,Men 25-34,Increase Sales,30 Days,Twitter,"0,1","4419,45","4,43",Las Vegas,French,11188,34659,Food,2022-10-22 00:00:00,Culinary Quest
833013,Men 18-24,Market Expansion,45 Days,Pinterest,"0,02","9391,2","0,436143323",Los Angeles,Spanish,14494,48177,Fashion,2022-03-11 00:00:00,Style Sphere
240601,Women 18-24,Brand Awareness,60 Days,Instagram,"0,05","13047,17","4,78",New York,English,34495,103695,Fashion,2022-05-21 00:00:00,Mode Maven
392009,Women 35-44,Market Expansion,15 Days,Twitter,"0,02","3769,75","0,53",Miami,Spanish,9415,29409,Food,2022-03-07 00:00:00,Nosh Nirvana
990297,Men 35-44,Market Expansion,15 Days,Facebook,"0,1",2752,"1,46",Austin,French,6738,21478,Food,2022-08-26 00:00:00,Gastronomy Guild
198437,Men 25-34,Product Launch,30 Days,Twitter,"0,04","6165,34","1,57",New York,Spanish,15945,48751,Fashion,2022-12-27 00:00:00,Fiber Fashion
659111,Men 18-24,Product Launch,15 Days,Instagram,"0,15",3091,"6,14",New York,English,7614,24072,Fashion,2022-04-10 00:00:00,Fiber Fashion
307278,Women 18-24,Market Expansion,60 Days,Instagram,"0,13","11638,69","5,75",New York,Spanish,30817,92802,Food,2022-01-13 00:00:00,Palate Paradise
491441,Women 35-44,Market Expansion,45 Days,Pinterest,"0,04","9392,93","0,693539383",Miami,English,14497,48186,Food,2022-11-28 00:00:00,Epicurean Edge
972089,Women 35-44,Market Expansion,30 Days,Pinterest,"0,14","4908,9","1,337029532",Las Vegas,English,7356,24936,Food,2022-11-12 00:00:00,Gourmet Grove
442401,Women 25-34,Increase Sales,60 Days,Pinterest,"0,08","11475,48","0,452230577",Los Angeles,French,17840,59071,Food,2022-02-10 00:00:00,Dine Divine
243979,Men 25-34,Market Expansion,60 Days,Instagram,"0,13","14020,02","2,03",Miami,French,36710,110255,Food,2022-09-02 00:00:00,Nosh Nirvana
473377,Men 35-44,Product Launch,15 Days,Facebook,"0,08","1435,89","2,41",Las Vegas,Spanish,3677,12411,Food,2022-05-02 00:00:00,Gourmet Grove
782778,Men 25-34,Brand Awareness,60 Days,Twitter,"0,06","11898,25","3,39",Los Angeles,French,31503,94832,Food,2022-05-23 00:00:00,Culinary Quest
353033,Men 18-24,Market Expansion,30 Days,Instagram,"0,02","6418,88","5,05",Las Vegas,French,16629,50775,Food,2022-08-24 00:00:00,Gourmet Grove
666807,Women 18-24,Brand Awareness,15 Days,Instagram,"0,03","1806,89","0,43",New York,English,4454,14714,Food,2022-11-04 00:00:00,Culinary Quest
574650,Men 35-44,Product Launch,15 Days,Facebook,"0,11","2184,61","4,45",Miami,English,5346,17354,Food,2022-10-20 00:00:00,Gourmet Grove
